City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
146,Tulagi,SB,-9.0996,160.1476,80.71,75,100,4.47,overcast clouds,2021-04-11 22:52:32
147,Anadyr,RU,64.75,177.4833,0.0,78,20,11.18,snow,2021-04-11 22:52:32
148,Upernavik,GL,72.7868,-56.1549,32.76,66,100,26.71,overcast clouds,2021-04-11 22:52:32
149,Thinadhoo,MV,0.5333,72.9333,82.65,69,69,10.13,broken clouds,2021-04-11 22:52:24
150,Tasiilaq,GL,65.6145,-37.6368,26.6,68,0,6.4,clear sky,2021-04-11 22:52:33
151,La Ronge,CA,55.1001,-105.2842,35.6,55,100,6.91,overcast clouds,2021-04-11 22:52:33
152,Qaqortoq,GL,60.7167,-46.0333,48.2,29,0,13.8,clear sky,2021-04-11 22:52:34
153,Paamiut,GL,61.994,-49.6678,33.91,76,5,5.95,clear sky,2021-04-11 22:52:34
154,Port Elizabeth,ZA,-33.918,25.5701,60.8,100,40,3.44,scattered clouds,2021-04-11 22:50:40
155,Mount Gambier,AU,-37.8333,140.7667,51.8,87,90,3.78,overcast clouds,2021-04-11 22:50:04
156,Hamilton,US,39.1834,-84.5333,53.01,76,90,11.5,overcast clouds,2021-04-11 22:48:56
157,Porbandar,IN,21.6422,69.6093,78.15,70,0,10.74,clear sky,2021-04-11 22:52:35
158,Geraldton,AU,-28.7667,114.6,73.4,88,90,17.27,overcast clouds,2021-04-11 22:52:36
159,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,71,1,9.22,clear sky,2021-04-11 22:52:36
160,Ondjiva,AO,-17.0667,15.7333,65.3,42,2,8.37,clear sky,2021-04-11 22:52:36
161,Zanzibar,TZ,-6.1639,39.1979,75.96,91,96,6.46,moderate rain,2021-04-11 22:52:37
162,Warrnambool,AU,-38.3833,142.4833,57.99,93,100,9.6,overcast clouds,2021-04-11 22:52:37
163,Jalu,LY,29.0331,21.5482,60.46,21,2,10.63,clear sky,2021-04-11 22:52:37
164,Yellowknife,CA,62.456,-114.3525,10.0,66,90,5.75,light snow,2021-04-11 22:52:38
165,Port Lincoln,AU,-34.7333,135.8667,61.41,60,100,18.03,overcast clouds,2021-04-11 22:48:48
166,Svetlogorsk,BY,52.6333,29.7333,43.84,69,0,6.06,clear sky,2021-04-11 22:52:38
167,Port-Gentil,GA,-0.7193,8.7815,77.0,94,20,2.3,few clouds,2021-04-11 22:52:39
168,Yar-Sale,RU,66.8333,70.8333,32.11,80,87,20.98,overcast clouds,2021-04-11 22:52:39
169,Mehamn,NO,71.0357,27.8492,33.62,70,96,28.59,light snow,2021-04-11 22:52:39
170,Lethem,GY,3.3803,-59.7968,74.07,90,100,2.86,overcast clouds,2021-04-11 22:52:40
171,Xinqing,CN,48.2333,129.5,39.13,91,100,3.4,light rain,2021-04-11 22:52:40
172,Itaituba,BR,-4.2761,-55.9836,78.8,89,40,1.21,light rain,2021-04-11 22:52:41
173,Fairbanks,US,64.8378,-147.7164,32.0,37,90,11.5,overcast clouds,2021-04-11 22:50:33
174,Les Cayes,HT,18.2,-73.75,76.96,81,97,9.53,overcast clouds,2021-04-11 22:52:41
175,Longyearbyen,SJ,78.2186,15.6401,19.4,58,75,13.8,broken clouds,2021-04-11 22:52:41
176,Havelock,US,34.8791,-76.9013,66.99,85,100,8.01,overcast clouds,2021-04-11 22:52:42
177,Margate,GB,51.3813,1.3862,36.0,73,83,5.7,broken clouds,2021-04-11 22:52:42
178,Adrar,MR,20.5022,-10.0711,78.44,18,17,12.55,few clouds,2021-04-11 22:52:42
179,San Policarpo,PH,12.1791,125.5072,78.82,85,94,8.19,overcast clouds,2021-04-11 22:52:43
180,Reconquista,AR,-29.15,-59.65,61.84,74,14,9.42,few clouds,2021-04-11 22:52:43
181,Belaya Gora,RU,68.5333,146.4167,-6.65,93,87,5.66,overcast clouds,2021-04-11 22:52:43
182,Provideniya,RU,64.3833,-173.3,11.57,84,100,26.96,light snow,2021-04-11 22:52:44
183,Kondinskoye,RU,59.6481,67.41,39.56,94,100,8.08,overcast clouds,2021-04-11 22:52:45
184,Meulaboh,ID,4.1363,96.1285,77.22,86,96,3.67,overcast clouds,2021-04-11 22:52:45
185,Salinopolis,BR,-0.6136,-47.3561,78.64,87,65,8.43,broken clouds,2021-04-11 22:52:16
186,Creel,MX,27.75,-107.6333,67.87,14,100,16.51,overcast clouds,2021-04-11 22:52:45
187,Broken Hill,AU,-31.95,141.4333,46.4,61,19,2.3,few clouds,2021-04-11 22:52:46
188,Khvoynaya,RU,58.9,34.5333,40.75,96,100,4.76,overcast clouds,2021-04-11 22:52:46
189,Kaitangata,NZ,-46.2817,169.8464,61.0,81,51,5.01,broken clouds,2021-04-11 22:52:46
190,Vallenar,CL,-28.5708,-70.7581,69.48,48,0,3.87,clear sky,2021-04-11 22:52:47
191,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,4.61,clear sky,2021-04-11 22:52:47
192,Mugan,CN,35.9404,101.3842,37.51,38,44,1.95,scattered clouds,2021-04-11 22:52:48
193,Aloleng,PH,16.1307,119.7824,80.51,69,91,4.88,overcast clouds,2021-04-11 22:52:48
194,Saint-Joseph,RE,-21.3667,55.6167,77.0,73,0,4.61,clear sky,2021-04-11 22:52:48
195,Nadym,RU,65.5333,72.5167,34.27,91,100,21.85,overcast clouds,2021-04-11 22:47:53
196,Hithadhoo,MV,-0.6,73.0833,83.03,72,93,12.1,overcast clouds,2021-04-11 22:52:49
197,Sidi Ali,DZ,36.0998,0.4206,55.85,79,19,2.91,few clouds,2021-04-11 22:52:49
198,Pringsewu,ID,-5.3582,104.9744,72.27,97,85,1.9,overcast clouds,2021-04-11 22:52:50
199,Muleba,TZ,-1.8397,31.6544,65.48,86,60,5.26,light rain,2021-04-11 22:52:50
200,Victor Harbor,AU,-35.5667,138.6167,57.0,68,100,9.04,overcast clouds,2021-04-11 22:52:50
201,Niamey,NE,13.5137,2.1098,93.2,5,0,2.3,clear sky,2021-04-11 22:52:51
202,Avera,US,33.194,-82.5271,77.0,57,1,11.5,clear sky,2021-04-11 22:52:51
203,Baker City,US,44.7749,-117.8344,46.4,23,1,19.57,clear sky,2021-04-11 22:52:51
204,Moose Factory,CA,51.2585,-80.6094,39.2,87,90,12.66,overcast clouds,2021-04-11 22:52:52
205,Gouyave,GD,12.1646,-61.7296,82.4,74,20,9.22,few clouds,2021-04-11 22:52:52
206,Bengkulu,ID,-3.8004,102.2655,75.16,90,100,4.92,overcast clouds,2021-04-11 22:51:48
207,Caramay,PH,10.1815,119.236,80.46,82,16,7.87,few clouds,2021-04-11 22:52:53
208,Lodwar,KE,3.1191,35.5973,84.04,50,75,17.11,broken clouds,2021-04-11 22:52:53
209,Rocha,UY,-34.4833,-54.3333,62.96,73,99,17.05,overcast clouds,2021-04-11 22:52:53
210,Sandwick,GB,60.0,-1.25,33.8,80,52,8.05,broken clouds,2021-04-11 22:52:54
211,Kokstad,ZA,-30.5472,29.4241,59.47,75,93,2.26,overcast clouds,2021-04-11 22:52:54
212,Tubuala,PA,9.5167,-79.0333,86.0,70,40,6.91,scattered clouds,2021-04-11 22:52:55
213,Touros,BR,-5.1989,-35.4608,78.8,89,75,6.91,broken clouds,2021-04-11 22:52:35
214,Maniitsoq,GL,65.4167,-52.9,29.14,76,19,5.23,few clouds,2021-04-11 22:52:55
215,Ormara,PK,25.2088,64.6357,79.0,65,0,13.09,clear sky,2021-04-11 22:52:56
216,Nome,US,64.5011,-165.4064,25.0,86,90,26.46,snow,2021-04-11 22:51:55
217,Doka,SD,13.5167,35.7667,83.61,25,14,13.73,few clouds,2021-04-11 22:52:56
218,Uvat,RU,59.1433,68.8953,43.34,97,100,8.08,overcast clouds,2021-04-11 22:52:56
219,Rio Grande,BR,-32.035,-52.0986,66.99,85,75,5.99,broken clouds,2021-04-11 22:52:43
220,Mar Del Plata,AR,-38.0023,-57.5575,63.0,72,0,3.44,clear sky,2021-04-11 22:51:24
221,Cabedelo,BR,-6.9811,-34.8339,75.2,100,75,8.05,broken clouds,2021-04-11 22:52:57
222,Saint George,US,37.1041,-113.5841,84.0,7,1,14.97,clear sky,2021-04-11 22:51:01
223,Chokurdakh,RU,70.6333,147.9167,-6.03,91,54,11.34,broken clouds,2021-04-11 22:52:58
224,Yichun,CN,47.7,128.9,44.37,75,100,5.32,light rain,2021-04-11 22:51:04
225,Mount Isa,AU,-20.7333,139.5,69.8,28,0,12.66,clear sky,2021-04-11 22:52:58
226,Mastic Beach,US,40.7668,-72.8521,48.2,87,90,8.05,mist,2021-04-11 22:52:58
227,Isangel,VU,-19.55,169.2667,82.4,89,75,5.75,broken clouds,2021-04-11 22:52:59
228,Lebu,CL,-37.6167,-73.65,57.15,86,0,12.46,clear sky,2021-04-11 22:48:09
229,Mitsamiouli,KM,-11.3847,43.2844,81.32,75,98,8.59,light rain,2021-04-11 22:52:59
230,San Juan,AR,-31.5375,-68.5364,66.43,25,0,2.42,clear sky,2021-04-11 22:53:00
231,Mandalgovi,MN,45.7625,106.2708,16.0,45,32,18.45,scattered clouds,2021-04-11 22:51:04
232,Guerrero Negro,MX,27.9769,-114.0611,64.62,65,99,16.75,overcast clouds,2021-04-11 22:49:02
233,Gat,IL,31.61,34.7642,54.0,72,8,5.53,clear sky,2021-04-11 22:53:00
234,Korla,CN,41.7597,86.1469,51.55,43,48,17.87,scattered clouds,2021-04-11 22:53:01
235,Palmer,US,42.1584,-72.3287,50.0,71,90,10.36,light rain,2021-04-11 22:53:01
236,Te Anau,NZ,-45.4167,167.7167,55.02,83,85,0.49,overcast clouds,2021-04-11 22:50:07
237,The Pas,CA,53.8251,-101.2541,32.0,74,90,6.91,light snow,2021-04-11 22:53:03
238,Alice Springs,AU,-23.7,133.8833,62.01,62,26,6.91,scattered clouds,2021-04-11 22:53:03
